"year","count"
"2003-04",56
"2004-05",47
"2005-06",111
"2006-07",102
"2007-08",150
"2008-09",148
"2009-10",163
"2010-11",159
"2011-12",233
"2012-13",258
"2013-14",306
"2014-15",635
